Black,151515
Titanium,42423E
White,F4F4F4
White Glow,E6EDCF
Dark Stone Grey,646765
Medium Stone Grey,A0A19F
Cool Silver,777779
Silver Metallic,878D8F
Metalized Silver,CECeD0
Medium Lavender,9675B4
Lavender,BCA6D0
Medium Lilac,4C2F92
Earth Blue,00395E
Bright Blue,006Cb7
Light Royal Blue,78BFEA
Medium Blue,489ECE
Sand Blue,678297
Dark Azure,00A3DA
Medium Azure,00BED3
Bright Bluish Green,189E9F
Aqua,C1E4DA
Sand Green,6F947A
Earth Green,004A2D
Dark Green,009247
Bright Green,00AF4D
Bright Yellowish Green,9ACA3A
Spring Yellowish Green,CCE197
Olive Green,828353
Flame Yellow Orange,FBAB18
Bright Yellowish Green,FFCD03
Cool Yellow,FFF579
Warm Gold,C39737
Warm Gold Drum Lacquered,D2A12A
Metalized Gold,E0C077
VIBRANT CORAL,F96C62
BRIGHT ORANGE,F57D20
Dark Brown,3B180D
Reddish Brown,692E14
Dark Orange,A65322
Medium Nougat,AF7446
Nougat,DE8B5F
Light Nougat,FCC39E
Sand Yellow,947E5F
Brick Yellow,DDC48E
New Dark Red,7F131B
Bright Red,DD1A21
Bright Reddish Violet,B51C7D
Bright Purple,E95DA2
Light Purple,F6ADCD
